Time,Date,DateFormat,DateTime,Month,Day,Count,Year,WeekDay,Season,Building Number,lat,lon,Room Number,Email Subject
11:01:23 AM,1/10/17,1/10/17,1/10/17 11:01 AM,Jan,10,1,2017,Tue,Winter,32,42.36138889,71.09055556,1,"Stata - Fruit, yogurt, and tea bread outside Star Conference (D463)"
1:11:56 PM,1/10/17,1/10/17,1/10/17 1:11 PM,Jan,10,1,2017,Tue,Winter,W20,42.35888889,71.09472222,307,Free Food in W20-307(3)
4:40:56 PM,1/10/17,1/10/17,1/10/17 4:40 PM,Jan,10,1,2017,Tue,Winter,32,42.36138889,71.09055556,d463,"Stata – Fruit, cheese, and other snacks outside Star Conference D463"
8:36:17 PM,1/10/17,1/10/17,1/10/17 8:36 PM,Jan,10,1,2017,Tue,Winter,e25,42.36166667,71.08694444,25,"E-25 402 salad, chiken and veggies"
9:01:41 PM,1/10/17,1/10/17,1/10/17 9:01 PM,Jan,10,1,2017,Tue,Winter,1,42.35805556,71.09194444,190,sandwiches _ wraps _ salad _ cookies outside 1-190
1:46:37 PM,1/11/17,1/11/17,1/11/17 1:46 PM,Jan,11,1,2017,Wed,Winter,32,42.36138889,71.09055556,d463,"Stata_ chicken & rice, mushroom & quinoa, salad, and bread outside Star conference (D463)"
5:31:45 PM,1/11/17,1/11/17,1/11/17 5:31 PM,Jan,11,1,2017,Wed,Winter,32,42.36138889,71.09055556,d463,"Stata - Fruit, cheese, and other snacks outside Star Conference (D463)"
2:19:11 PM,1/12/17,1/12/17,1/12/17 2:19 PM,Jan,12,1,2017,Thu,Winter,w20,42.35888889,71.09472222,303,student center room 303
3:34:10 PM,1/12/17,1/12/17,1/12/17 3:34 PM,Jan,12,1,2017,Thu,Winter,W35,42.35861111,71.09583333,199,Cheese fruit etc in W35-199
9:01:24 PM,1/12/17,1/12/17,1/12/17 9:01 PM,Jan,12,1,2017,Thu,Winter,1,42.35805556,71.09194444,190,Rice pilaf and chicken piccata outside 1-190
1:18:07 PM,1/13/17,1/13/17,1/13/17 1:18 PM,Jan,13,1,2017,Fri,Winter,34,42.36111111,71.09166667,401,leftovers in Grier Room
5:04:59 PM,1/13/17,1/13/17,1/13/17 5:04 PM,Jan,13,1,2017,Fri,Winter,50,42.35916667,71.08805556,0,"Bagels w_ cream cheese, Walker basement"
3:42:04 PM,1/14/17,1/14/17,1/14/17 3:42 PM,Jan,14,1,2017,Sat,Winter,3,42.35888889,71.09222222,333,Coffee & breads
5:03:49 PM,1/14/17,1/14/17,1/14/17 5:03 PM,Jan,14,1,2017,Sat,Winter,1,42.35805556,71.09194444,375,"Brownie tray, gatorade, 2Ls of sprite"
7:22:30 PM,1/15/17,1/15/17,1/15/17 7:22 PM,Jan,15,1,2017,Sun,Winter,2,42.35861111,71.09,142,"Juice, soda, etc. 2-142"
1:42:09 PM,1/17/17,1/17/17,1/17/17 1:42 PM,Jan,17,1,2017,Tue,Winter,34,42.36111111,71.09166667,410,leftovers in Grier Room kitchen
3:11:37 PM,1/18/17,1/18/17,1/18/17 3:11 PM,Jan,18,1,2017,Wed,Winter,w20,42.35888889,71.09472222,1,first floor w20 by couches- free food bring a platr
4:43:40 PM,1/19/17,1/19/17,1/19/17 4:43 PM,Jan,19,1,2017,Thu,Winter,36,42.36138889,71.09138889,413,Some fruit and bagels in 36-413
1:29:06 PM,1/20/17,1/20/17,1/20/17 1:29 PM,Jan,20,1,2017,Fri,Winter,w20,42.35888889,71.09472222,4,Free food W20 fourth floor
1:07:37 PM,1/23/17,1/23/17,1/23/17 1:07 PM,Jan,23,1,2017,Mon,Winter,66,42.36083333,71.08888889,168,Free Food 66-168
1:38:12 PM,1/23/17,1/23/17,1/23/17 1:38 PM,Jan,23,1,2017,Mon,Winter,36,42.36138889,71.09138889,462,"Leftovers in RLE conference room 36-462, 36-428"
5:16:06 PM,1/23/17,1/23/17,1/23/17 5:16 PM,Jan,23,1,2017,Mon,Winter,8,42.36,71.09083333,36,Brownies and cookies
9:18:48 PM,1/23/17,1/23/17,1/23/17 9:18 PM,Jan,23,1,2017,Mon,Winter,3,42.35888889,71.09222222,1,Taco things @ bldg 3 and the Infinate
8:11:39 PM,1/24/17,1/24/17,1/24/17 8:11 PM,Jan,24,1,2017,Tue,Winter,1,42.35805556,71.09194444,190,Qdoba taco bar in 1-190
1:39:13 PM,1/25/17,1/25/17,1/25/17 1:39 PM,Jan,25,1,2017,Wed,Winter,W20,42.35888889,71.09472222,307,Free Food in W20-307(2)
2:01:13 PM,1/25/17,1/25/17,1/25/17 2:01 PM,Jan,25,1,2017,Wed,Winter,32,42.36138889,71.09055556,123,coffee and fixings outside 32-123; bring your own mug
10:22:34 PM,1/26/17,1/26/17,1/26/17 10:22 PM,Jan,26,1,2017,Thu,Winter,32,42.36138889,71.09055556,155,Stata 32-155 free Italian sandwiches
11:03:32 PM,1/26/17,1/26/17,1/26/17 11:03 PM,Jan,26,1,2017,Thu,Winter,E19,42.36194444,71.08777778,1,Indian food in E19
4:30:35 PM,1/27/17,1/27/17,1/27/17 4:30 PM,Jan,27,1,2017,Fri,Winter,13,42.35972222,71.0925,1,Lobby 13 EOM
5:28:13 PM,1/27/17,1/27/17,1/27/17 5:28 PM,Jan,27,1,2017,Fri,Winter,13,42.35972222,71.0925,1,Left over Bertucci's in Lobby 13
9:31:05 PM,1/27/17,1/27/17,1/27/17 9:31 PM,Jan,27,1,2017,Fri,Winter,50,42.35916667,71.08805556,1,Free chinese food at Muddy Charles
4:34:40 PM,1/28/17,1/28/17,1/28/17 4:34 PM,Jan,28,1,2017,Sat,Winter,e19,42.36194444,71.08777778,1,wraps & pasta salad
10:37:02 PM, 3 Jan 2017 ,1/3/17,1/3/17 10:37 PM,Jan,3,1,2017,Tue,Winter,w20,42.35888889,71.09472222,2,chocolate frosted marble cake in W20 2nd floor lounge
1:25:57 PM, 9 Jan 2017 ,1/9/17,1/9/17 1:25 PM,Jan,9,1,2017,Mon,Winter,32,42.36138889,71.09055556,1,"Free food in Stata_ Salad, pasta, beverages and fruit outside Star conference room D463"
5:01:12 PM, 9 Jan 2017 ,1/9/17,1/9/17 5:01 PM,Jan,9,1,2017,Mon,Winter,50,42.35916667,71.08805556,1,Bagels in basement of Walker
5:07:52 PM, 9 Jan 2017 ,1/9/17,1/9/17 5:07 PM,Jan,9,1,2017,Mon,Winter,32,42.36138889,71.09055556,d463,Stata - Hummus and pita and brownies outside Star Conference D463
5:03:21 PM, 1 Oct 2016 ,10/1/16,10/1/16 5:03 PM,Oct,1,1,2016,Sat,Autumn,35,42.36027778,71.09388889,225,Chips and drinks in 35-225
5:44:54 PM, 1 Oct 2016 ,10/1/16,10/1/16 5:44 PM,Oct,1,1,2016,Sat,Autumn,32,42.36138889,71.09055556,1,Fwd_ Free food at stata
4:56:45 PM,10/10/16,10/10/16,10/10/16 4:56 PM,Oct,10,1,2016,Mon,Autumn,4,42.35916667,71.09111111,163,Green Curry tofu in 4-163 eom
12:36:59 PM,10/10/17,10/10/17,10/10/17 12:36 PM,Oct,10,1,2017,Tue,Autumn,1,42.35805556,71.09194444,206,Free Food outside of 1-206
2:46:47 PM,10/11/16,10/11/16,10/11/16 2:46 PM,Oct,11,1,2016,Tue,Autumn,56,42.36055556,71.08972222,1,Several boxes of belvita crackers on the bench in bldg 56
3:01:40 PM,10/11/16,10/11/16,10/11/16 3:01 PM,Oct,11,1,2016,Tue,Autumn,e14,42.36027778,71.08722222,304,leftover sandwiches outside 14E-304
5:55:51 PM,10/11/16,10/11/16,10/11/16 5:55 PM,Oct,11,1,2016,Tue,Autumn,50,42.35916667,71.08805556,0,free food at walker (50) basement
6:16:52 PM,10/11/16,10/11/16,10/11/16 6:16 PM,Oct,11,1,2016,Tue,Autumn,56,42.36055556,71.08972222,614,Bertuccis outside 56-614! (eom)
7:53:36 PM,10/11/16,10/11/16,10/11/16 7:53 PM,Oct,11,1,2016,Tue,Autumn,5,42.35861111,71.09277778,134,Infinitely much Indian food 5-134 eom
12:29:51 PM,10/11/17,10/11/17,10/11/17 12:29 PM,Oct,11,1,2017,Wed,Autumn,14E,42.35916667,71.08916667,304,leftovers in 14E-304 kitchen
12:35:07 PM,10/11/17,10/11/17,10/11/17 12:35 PM,Oct,11,1,2017,Wed,Autumn,34,42.36111111,71.09166667,101,Free Lunch outside of 34-101
6:02:16 PM,10/11/17,10/11/17,10/11/17 6:02 PM,Oct,11,1,2017,Wed,Autumn,2,42.35861111,71.09,105,Free food in 2-105
5:52:00 PM,10/12/16,10/12/16,10/12/16 5:52 PM,Oct,12,1,2016,Wed,Autumn,54,42.36027778,71.08916667,9,Otto's Pizza (1.5 pizzas) 9th floor of green building EOM
12:19:21 PM,10/12/17,10/12/17,10/12/17 12:19 PM,Oct,12,1,2017,Thu,Autumn,W20,42.35888889,71.09472222,307,Free food W20-307
6:19:41 PM,10/13/16,10/13/16,10/13/16 6:19 PM,Oct,13,1,2016,Thu,Autumn,50,42.35916667,71.08805556,1,Burritos guac and sour cream walker basement eom
7:23:21 PM,10/13/16,10/13/16,10/13/16 7:23 PM,Oct,13,1,2016,Thu,Autumn,34,42.36111111,71.09166667,401,"Pasta, salad 34-401"
7:33:07 PM,10/13/16,10/13/16,10/13/16 7:33 PM,Oct,13,1,2016,Thu,Autumn,34,42.36111111,71.09166667,401,34-401 food claimed all gone
2:20:14 PM,10/13/17,10/13/17,10/13/17 2:20 PM,Oct,13,1,2017,Fri,Autumn,6,42.35944444,71.09027778,131,"Inquire in 6-131 for sandwiches, calzones, chicken and rice, and more!"
8:18:50 PM,10/13/17,10/13/17,10/13/17 8:18 PM,Oct,13,1,2017,Fri,Autumn,w20,42.35888889,71.09472222,1,"Student center Chicken, veggies, pie, beans all kosher"
9:14:24 PM,10/13/17,10/13/17,10/13/17 9:14 PM,Oct,13,1,2017,Fri,Autumn,32,42.36138889,71.09055556,155,taco bar in stata 155
