"shapeid","bridge","from","highway","junction","key","lanes","length","maxspeed","name","oneway","osmid","ref","service","to"
"0.0","NULL","5358206224","footway","NULL","0","NULL","8.126","NULL","NULL","False","555349703","NULL","NULL","5358227456"
"1.0","NULL","5265559171","footway","NULL","0","NULL","2.198","NULL","NULL","False","555349713","NULL","NULL","5358227457"
"2.0","NULL","346639962","unclassified","NULL","0","NULL","52.562","NULL","NULL","False","281153140","NULL","NULL","2851477506"
"3.0","NULL","245667930","tertiary","NULL","0","NULL","26.814","NULL","Ramakrishna Mission Road","False","22860447","NULL","NULL","475736065"
"4.0","NULL","245667917","tertiary","NULL","0","NULL","60.652","NULL","Ramakrishna Mission Road","False","22860447","NULL","NULL","475736065"
"5.0","NULL","245668078","unclassified","NULL","0","NULL","149.787","NULL","NULL","False","39682086","NULL","NULL","475736065"
"6.0","NULL","2440075900","unclassified","NULL","0","NULL","10.782","NULL","SG Joshi Marg","False","31216933","NULL","NULL","2247989252"
"7.0","NULL","347176820","unclassified","NULL","0","NULL","207.068","NULL","SG Joshi Marg","False","31216933","NULL","NULL","2247989252"
"8.0","NULL","4328028263","unclassified","NULL","0","NULL","169.772","NULL","National Library Road / Nandi Galli","False","215382415","NULL","NULL","2247989252"
"9.0","NULL","1936355384","tertiary","NULL","0","NULL","62.299","NULL","Chitrakar Durandhar Road (2nd Road)","False","31939302","NULL","NULL","471554052"
"10.0","NULL","357798246","unclassified","NULL","0","NULL","228.53","NULL","5th Road","False","376993278","NULL","NULL","471554052"
"11.0","NULL","357798382","unclassified","NULL","0","NULL","136.703","NULL","5th Road","False","376993278","NULL","NULL","471554052"
"12.0","NULL","357798619","tertiary","NULL","0","NULL","60.365","NULL","Chitrakar Durandhar Road (2nd Road)","False","31939302","NULL","NULL","471554052"
"13.0","NULL","4438866405","unclassified","NULL","0","NULL","32.045","NULL","3rd Road","False","31215841","NULL","NULL","347172870"
"14.0","NULL","471591704","unclassified","NULL","0","NULL","158.32","NULL","1st Road","False","39360983","NULL","NULL","347172870"
"15.0","NULL","5372158169","unclassified","NULL","0","NULL","135.14499999999998","NULL","3rd Road","False","31215841","NULL","NULL","347172870"
"16.0","NULL","346633203","secondary","NULL","0","NULL","58.392","30","Hill Road","False","552505792","NULL","NULL","2247989255"
"17.0","NULL","347146498","unclassified","NULL","0","NULL","184.589","NULL","Chinchpokli Rd","False","215382413","NULL","NULL","2247989255"
"18.0","NULL","346633199","secondary","NULL","0","NULL","63.566","30","Hill Road","False","552505792","NULL","NULL","2247989255"
"19.0","NULL","245667907","secondary","NULL","0","NULL","127.122","NULL","Chitrakar Durandhar Road (1st Road)","False","22859583","NULL","NULL","245667848"
"20.0","NULL","3803645363","secondary","NULL","0","NULL","45.328","NULL","Chitrakar Durandhar Road (1st Road)","False","22859583","NULL","NULL","245667848"
"21.0","NULL","245667939","unclassified","NULL","0","NULL","121.577","NULL","21st Road","False","22860649","NULL","NULL","245667848"
"22.0","NULL","1936355403","tertiary","NULL","0","NULL","8.527","NULL","Church Avenue","False","22860415","NULL","NULL","245667849"
"23.0","NULL","245667861","tertiary","NULL","0","NULL","77.445","NULL","South Avenue","False","22860451","NULL","NULL","245667849"
"24.0","NULL","245667909","primary","NULL","0","NULL","60.369","NULL","Swami Vivekanand Road","False","553233662","NULL","NULL","245667849"
"25.0","NULL","245667719","primary","NULL","0","NULL","155.333","NULL","Swami Vivekanand Road","False","553233662","NULL","NULL","245667849"
"26.0","NULL","2247989261","residential","NULL","0","NULL","136.514","NULL","NULL","False","215382437","NULL","NULL","2247989258"
"27.0","NULL","471591706","unclassified","NULL","0","NULL","110.592","NULL","RK Patkar Marg (Waterfield Road)","False","555601733","NULL","NULL","2247989258"
"28.0","NULL","346633203","unclassified","NULL","0","NULL","93.364","NULL","RK Patkar Marg (Waterfield Road)","False","555601733","NULL","NULL","2247989258"
"29.0","NULL","245667705","unclassified","NULL","0","NULL","163.414","NULL","Hasanabad Road No 2","False","22860110","NULL","NULL","245667850"
"30.0","NULL","245667894","unclassified","NULL","0","NULL","63.143","NULL","Hasanabad Road No 2","False","22860110","NULL","NULL","245667850"
"31.0","NULL","245667851","tertiary","NULL","0","NULL","55.527","NULL","Church Avenue","False","22860415","NULL","NULL","245667850"
"32.0","NULL","1936355403","tertiary","NULL","0","NULL","195.374","NULL","Church Avenue","False","22860415","NULL","NULL","245667850"
"33.0","NULL","245667877","unclassified","NULL","0","NULL","42.53","NULL","Convent Avenue","False","423809366","NULL","NULL","245667851"
"34.0","NULL","2244797626","tertiary","NULL","0","NULL","46.071","NULL","Church Avenue","False","22860415","NULL","NULL","245667851"
"35.0","NULL","347175185","unclassified","NULL","0","NULL","137.712","NULL","St. Martin's Road","False","31202420","NULL","NULL","2247989261"
"36.0","NULL","346633199","unclassified","NULL","0","NULL","84.124","NULL","St. Martin's Road","False","31202420","NULL","NULL","2247989261"
"37.0","NULL","1641744394","footway","NULL","0","NULL","91.556","NULL","NULL","False","151353180","NULL","NULL","1641744392"
"38.0","NULL","1641744372","pedestrian","NULL","0","NULL","154.717","NULL","NULL","False","151353181","NULL","NULL","1641744392"
"39.0","NULL","1514451662","pedestrian","NULL","0","NULL","115.955","NULL","NULL","False","151353181","NULL","NULL","1641744392"
"40.0","NULL","245668025","unclassified","NULL","0","NULL","175.345","NULL","Central Avenue","False","22860125","NULL","NULL","245667860"
"41.0","NULL","245667727","unclassified","NULL","0","NULL","162.743","NULL","11th Road","False","22860127","NULL","NULL","245667860"
"42.0","NULL","245667861","tertiary","NULL","0","NULL","81.182","NULL","South Avenue","False","22860451","NULL","NULL","245667860"
"43.0","NULL","245667875","tertiary","NULL","0","NULL","74.1","NULL","South Avenue","False","22860451","NULL","NULL","245667860"
"44.0","NULL","245668026","unclassified","NULL","0","NULL","169.101","NULL","S Chatterji Marg (East Avenue)","False","22860111","NULL","NULL","245667861"
"45.0","NULL","245667728","unclassified","NULL","0","NULL","158.817","NULL","10th Road","False","22860204","NULL","NULL","245667861"
"46.0","NULL","4328028001","unclassified","NULL","0","NULL","13.878","NULL","N Dayabhai Road","False","31202210","NULL","NULL","296362012"
"47.0","NULL","1233481311","primary","NULL","0","NULL","171.18900000000002","NULL","Gurunanak Marg","False","235500042","NULL","NULL","296362012"
"48.0","NULL","4362576452","primary","NULL","0","NULL","132.406","NULL","Gurunanak Marg","False","235500042","NULL","NULL","296362012"
"49.0","NULL","3405685916","living_street","NULL","0","NULL","17.84","NULL","Chuim Village Road","False","333459979","NULL","NULL","3405719580"
"50.0","NULL","1514453223","living_street","NULL","0","NULL","17.688","NULL","Chuim Village Road","False","333459979","NULL","NULL","3405719580"
"51.0","NULL","3405685935","footway","NULL","0","NULL","43.872","NULL","NULL","False","333460029","NULL","NULL","3405719580"
"52.0","NULL","4362576446","primary","NULL","0","NULL","47.245000000000005","NULL","Swami Vivekanand Road","False","48803919","NULL","NULL","296362014"
"53.0","NULL","1233481311","primary","NULL","0","NULL","155.825","NULL","Swami Vivekanand Road","False","48803919","NULL","NULL","296362014"
"54.0","NULL","2247989204","unclassified","NULL","0","NULL","100.82300000000001","NULL","National Library Roadd","False","215382416","NULL","NULL","296362014"
"55.0","NULL","2629418478","secondary","NULL","0","NULL","12.155","NULL","Vithalbhai Patel Road","False","553233661","NULL","NULL","1936355361"
"56.0","NULL","296362019","secondary","NULL","0","1","9.283","NULL","Gurunanak Marg","False","553666271","NULL","NULL","1936355361"
"57.0","NULL","5342165308","primary","NULL","0","NULL","8.597","NULL","Swami Vivekanand Road","False","553666275","NULL","NULL","1936355361"
"58.0","NULL","5340115955","secondary","NULL","0","1","23.427","NULL","Gurunanak Marg","False","553669838","NULL","NULL","1936355361"
"59.0","NULL","5332565905","primary","NULL","0","NULL","26.069","NULL","Swami Vivekanand Road","False","553233665","NULL","NULL","1936355361"
"60.0","NULL","245667893","tertiary","NULL","0","NULL","71.368","NULL","Ramakrishna Mission Road","False","22860447","NULL","NULL","245667874"
"61.0","NULL","2629418529","tertiary","NULL","0","NULL","12.718","NULL","South Avenue","False","22860451","NULL","NULL","245667874"
