"shapeid","x","y"
"0.0","272353.08195175836","2108808.876764935"
"0.0","272347.7630704612","2108802.7526888526"
"1.0","272391.8867036662","2108840.963190389"
"1.0","272394.0500981988","2108841.368347081"
"2.0","271255.2700805813","2107751.639734493"
"2.0","271205.0169918755","2107767.2660532626"
"3.0","271591.62472097785","2110627.41147009"
"3.0","271618.42791177717","2110625.662126635"
"4.0","271678.93749809335","2110620.2178337798"
"4.0","271618.42791177717","2110625.662126635"
"5.0","271618.80150137196","2110774.8088913457"
"5.0","271618.42791177717","2110625.662126635"
"6.0","272433.5071887327","2108368.7496435256"
"6.0","272442.55026250303","2108374.617458925"
"7.0","272565.2641175801","2108535.963323768"
"7.0","272557.61939046055","2108509.4164472315"
"7.0","272543.73915040714","2108483.533267189"
"7.0","272514.3107499606","2108441.6754651037"
"7.0","272477.6725222304","2108402.597246046"
"7.0","272442.55026250303","2108374.617458925"
"8.0","272598.45169117086","2108311.2202404216"
"8.0","272585.5834643729","2108315.3538883203"
"8.0","272564.344205973","2108322.0156166116"
"8.0","272557.15056126064","2108326.101517172"
"8.0","272552.4078343663","2108332.5600118577"
"8.0","272542.89567915344","2108337.327779632"
"8.0","272478.5569111449","2108358.173462176"
"8.0","272442.55026250303","2108374.617458925"
"9.0","272430.98184569075","2109731.4305165773"
"9.0","272493.0745663544","2109725.2167821443"
"10.0","272484.6690108343","2109497.819021771"
"10.0","272493.0745663544","2109725.2167821443"
"11.0","272486.7607594778","2109861.1909635183"
"11.0","272493.0745663544","2109725.2167821443"
"12.0","272549.14476516296","2109745.4418128324"
"12.0","272532.1076137099","2109736.705089462"
"12.0","272499.4916528759","2109729.9210815323"
"12.0","272493.0745663544","2109725.2167821443"
"13.0","271717.9863698677","2108764.8123494843"
"13.0","271718.37085812446","2108732.906776521"
"14.0","271876.9623588204","2108733.3596911496"
"14.0","271718.37085812446","2108732.906776521"
"15.0","271730.082046731","2108600.3530684644"
"15.0","271724.81987242127","2108607.349738973"
"15.0","271722.8578738118","2108617.273111491"
"15.0","271718.37085812446","2108732.906776521"
"16.0","272078.5944169181","2108429.3229239658"
"16.0","272135.461149025","2108442.9268879355"
"17.0","272123.13380936696","2108262.2824725984"
"17.0","272128.1807402269","2108285.5948402556"
"17.0","272136.4309252724","2108302.279355485"
"17.0","272140.18562310666","2108313.0289821187"
"17.0","272135.461149025","2108442.9268879355"
"18.0","272197.09752604744","2108436.9176031817"
"18.0","272177.1186299386","2108445.8673955505"
"18.0","272135.461149025","2108442.9268879355"
"19.0","271243.79555458005","2110554.40171324"
"19.0","271360.229741069","2110503.129624816"
"20.0","271401.8328255107","2110485.0411595358"
"20.0","271360.229741069","2110503.129624816"
"21.0","271354.2437777108","2110624.0421295944"
"21.0","271360.229741069","2110503.129624816"
"22.0","272470.74108964426","2110547.6027348507"
"22.0","272462.2087286585","2110547.2097488753"
"23.0","272384.8481773472","2110552.9923050734"
"23.0","272462.2087286585","2110547.2097488753"
"24.0","272467.1486127166","2110607.1190588395"
"24.0","272462.2087286585","2110547.2097488753"
"25.0","272453.2391206282","2110392.799559526"
"25.0","272462.2087286585","2110547.2097488753"
"26.0","272200.415198436","2108520.6091053234"
"26.0","272063.6666353047","2108520.7471311507"
"27.0","272061.9730050522","2108630.853842485"
"27.0","272063.6666353047","2108520.7471311507"
"28.0","272078.5944169181","2108429.3229239658"
"28.0","272068.316204495","2108467.5402712896"
"28.0","272063.6666353047","2108520.7471311507"
"29.0","272655.93006026524","2110367.002374365"
"29.0","272665.11296799756","2110529.4597460465"
"30.0","272664.9722376533","2110592.3327437243"
"30.0","272665.11296799756","2110529.4597460465"
"31.0","272718.26834167144","2110545.7347394745"
"31.0","272665.11296799756","2110529.4597460465"
"32.0","272470.74108964426","2110547.6027348507"
"32.0","272629.1364095141","2110527.50054849"
"32.0","272665.11296799756","2110529.4597460465"
"33.0","272720.0847761276","2110588.0435849656"
"33.0","272718.26834167144","2110545.7347394745"
"34.0","272762.0344652563","2110559.578848695"
"34.0","272752.7464505921","2110558.5196033213"
"34.0","272718.26834167144","2110545.7347394745"
"35.0","272200.5809001764","2108657.7325213226"
"35.0","272200.415198436","2108520.6091053234"
