"shapeid","x","y"
"0.0","72.97538905263","19.186001337"
"0.0","72.97703861117","19.1864446517"
"0.0","72.98451660991","19.18866374047"
"0.0","72.98794538395","19.18956360424"
"0.0","72.9883076","19.1895883"
"0.0","72.9890337","19.1897633"
"0.0","72.9900339","19.1899657"
"0.0","72.9911186","19.1901276"
"0.0","72.9922367","19.1902889"
"0.0","72.9933076","19.1904317"
"0.0","72.9939224","19.1905108"
"0.0","72.9942969","19.1905511"
"0.0","72.9945577","19.1905511"
"0.0","72.9947647","19.1905272"
"0.0","72.9950096","19.190472"
"0.0","72.9953336","19.1903496"
"0.0","72.9955375","19.1902406"
"0.0","72.9957224","19.1901108"
"0.0","72.9959215","19.1899272"
"0.0","72.9960795","19.1897421"
"0.0","72.9962091","19.1895332"
"0.0","72.9963039","19.1893317"
"0.0","72.9963804","19.189153"
"0.0","72.9964272","19.1890063"
"0.0","72.9964509","19.1888243"
"0.0","72.9964604","19.1885347"
"0.0","72.9964335","19.1882661"
"0.0","72.9963883","19.1879872"
"0.0","72.9960274","19.1866905"
"0.0","72.9956509","19.1853262"
"0.0","72.9950395","19.1828629"
"0.0","72.9949202","19.1823822"
"0.0","72.9947078","19.1816883"
"0.0","72.9941491","19.1796535"
"0.0","72.993969","19.1787814"
"0.0","72.9940188","19.1775358"
"0.0","72.9940532","19.1773668"
"0.0","72.9942826","19.1766642"
"0.0","72.9947066","19.1759073"
"0.0","72.9951711","19.1753094"
"0.0","72.9961679","19.1743021"
"0.0","72.9963549","19.1741132"
"0.0","72.9973314","19.1731264"
"0.0","72.9979121","19.1724737"
"0.0","72.9983012","19.1718922"
"0.0","72.9985335","19.1713766"
"0.0","72.9987251","19.1706471"
"0.0","72.9990213","19.1685079"
"0.0","72.999393","19.1652332"
"0.0","72.9994685","19.1644926"
"0.0","72.9994917","19.1631816"
"0.0","72.9994635","19.1617662"
"0.0","72.9994233","19.1586066"
"0.0","72.999424","19.1567019"
"0.0","72.9994494","19.1562302"
"0.0","72.9994763","19.155731"
"0.0","72.9995925","19.154941"
"0.0","72.9998828","19.1536299"
"0.0","73.0001093","19.152659"
"0.0","73.0002196","19.1519019"
"0.0","73.0002487","19.1508432"
"0.0","73.0002286","19.1481362"
"0.0","73.0002288","19.1478348"
"0.0","73.0002483","19.1471508"
"0.0","73.0003231","19.1465135"
"0.0","73.0004916","19.1460131"
"0.0","73.0016159","19.1438084"
"0.0","73.0018858","19.1432081"
"0.0","73.0020598","19.1428052"
"0.0","73.0022227","19.1420225"
"0.0","73.0023034","19.1407484"
"0.0","73.002367","19.1388923"
"0.0","73.002404","19.1384382"
"0.0","73.0028231","19.1367576"
"0.0","73.0031587","19.135348"
"0.0","73.0033503","19.1344548"
"0.0","73.003405","19.13367"
"0.0","73.0032843","19.1323229"
"0.0","73.0031802","19.1314985"
"0.0","73.0031642","19.1313314"
"0.0","73.0031529","19.1310472"
"0.0","73.0031744","19.1305089"
"0.0","73.003254","19.1300459"
"0.0","73.0034264","19.1292515"
"0.0","73.0041666","19.1260723"
"0.0","73.0042262","19.1258278"
"0.0","73.005176","19.1220361"
"0.0","73.0055971","19.1205234"
"0.0","73.0062618","19.1184707"
"0.0","73.0070501","19.1164379"
"0.0","73.0076139","19.1149614"
"0.0","73.0082938","19.1134715"
"0.0","73.0103176","19.1073525"
"0.0","73.0104747","19.1066976"
"0.0","73.0107274","19.1054483"
"0.0","73.0108602","19.1048799"
"0.0","73.0114261","19.1030446"
"0.0","73.0118167","19.1018126"
"0.0","73.0121436","19.1010545"
"0.0","73.012631","19.1003342"
"0.0","73.0133992","19.0993244"
"0.0","73.0146571","19.0974453"
"0.0","73.0162452","19.0952207"
"0.0","73.0165347","19.094733"
"0.0","73.016786","19.0940109"
"0.0","73.0169555","19.0932743"
"0.0","73.0170078","19.0915191"
"0.0","73.0171502","19.0904307"
"0.0","73.017074","19.088835"
"0.0","73.0167345","19.0837797"
"0.0","73.0167039","19.0830757"
"0.0","73.016707","19.0825277"
"0.0","73.0167194","19.0822761"
"0.0","73.0167359","19.0818646"
"0.0","73.0167655","19.0815125"
"0.0","73.0168102","19.0811898"
"0.0","73.0168577","19.080944"
"0.0","73.0170266","19.0800191"
"0.0","73.01714778095","19.07898229492"
"0.0","73.01749296746","19.0777696"
"0.0","73.01782964587","19.07601996484"
"0.0","73.01828242698","19.07394112353"
"0.0","73.01852512698","19.07118839984"
"0.0","73.01858492698","19.07003500019"
"0.0","73.01860749185","19.0696014241"
"0.0","73.01865577161","19.06886119784"
"0.0","73.01864504278","19.06802970686"
"0.0","73.01861285627","19.06760888972"
"0.0","73.01845728815","19.06722863234"
"0.0","73.01818906724","19.06675711199"
"0.0","73.01791011751","19.06644276434"
"0.0","73.01758825243","19.06620446814"
"0.0","73.01728784502","19.06605743415"
"0.0","73.01691770017","19.06595096117"
"0.0","73.01655291975","19.06591040002"
"0.0","73.01619350374","19.06592561045"
"0.0","73.01560341775","19.0660777147"
"0.0","73.0149709","19.0662526"
"0.0","73.0143983","19.0664387"
"0.0","73.013817","19.0665377"
"0.0","73.0132673","19.066586"
"0.0","73.0127463","19.0665721"
"0.0","73.0119659","19.0664555"
"0.0","73.0107446","19.0661655"
"0.0","73.0096746","19.0660236"
"0.0","73.0084156","19.0657228"
"0.0","73.0032907","19.0644773"
"0.0","73.0009478277","19.06384683838"
"0.0","72.99916147649","19.06330939551"
"0.0","72.99892007768","19.063207991"
