"shapeid","WARD_ID","WARD_NO","NAME2","CITY","STATE_UT","C_CODE11","TOT_HH","TOT_POP","M_POP","F_POP","TOT_L6","M_L6","F_L6","TOT_SC","M_SC","F_SC","TOT_ST","M_ST","F_ST","TOT_LIT","M_LIT","F_LIT","TOT_ILLT","M_ILLT","F_ILLT","TOT_W","M_W","F_W","TOT_MNW","M_MNW","F_MNW","TOT_CULT","M_CULT","F_CULT","TOT_AGLB","M_AGLB","F_AGLB","T_MFHH","M_MFHH","F_MFHH","TOT_OTH_W","M_OTH_W","F_OTH_W","TOT_MRW","M_MRW","F_MRW","T_MRG_CULT","M_MRG_CULT","F_MRG_CULT","T_MRG_AGLB","M_MRG_AGLB","F_MRG_AGLB","T_MRG_HH","M_MRG_HH","F_MRG_HH","T_MRG_OTH","M_MRG_OTH","F_MRG_OTH","T_MRG_3_6","M_MRG_3_6","F_MRG_3_6","T_M_CL_3_6","M_M_CL_3_6","F_M_CL_3_6","T_MAG_3_6","M_MAG_3_6","F_MAG_3_6","T_MHH_3_6","M_MHH_3_6","F_MHH_3_6","T_MOT_3_6","M_MOT_3_6","F_MOT_3_6","T_MRG_0_3","M_MRG_0_3","F_MRG_0_3","T_M_CL_0_3","M_M_CL_0_3","F_M_CL_0_3","T_MAG_0_3","M_MAG_0_3","F_MAG_0_3","T_MHH_0_3","M_MHH_0_3","F_MHH_0_3","T_MOT_0_3","M_MOT_0_3","F_MOT_0_3","TOT_NNW","M_NNW","F_NNW","area_km","area_km_pr","pop_km"
"0","63.0","63.0","Greater Mumbai (M Corp.) (Part) WARD NO.-1563","Greater Mumbai","Maharashtra","27518999998027941563","26910.0","120217.0","62646.0","57571.0","10601.0","5654.0","4947.0","3667.0","1874.0","1793.0","1300.0","630.0","670.0","101847.0","54439.0","47408.0","18370.0","8207.0","10163.0","46695.0","37334.0","9361.0","43902.0","35661.0","8241.0","138.0","89.0","49.0","156.0","118.0","38.0","0.0","0.0","0.0","41836.0","34303.0","7533.0","2793.0","1673.0","1120.0","88.0","41.0","47.0","55.0","47.0","8.0","219.0","60.0","159.0","2431.0","1525.0","906.0","2504.0","1521.0","983.0","87.0","40.0","47.0","28.0","21.0","7.0","169.0","54.0","115.0","2220.0","1406.0","814.0","289.0","152.0","137.0","1.0","1.0","0.0","27.0","26.0","1.0","50.0","6.0","44.0","211.0","119.0","92.0","73522.0","25312.0","48210.0","1","1.194684236","100627"
"1","62.0","62.0","Greater Mumbai (M Corp.) (Part) WARD NO.-1562","Greater Mumbai","Maharashtra","27518999998027941562","40692.0","168576.0","85801.0","82775.0","13496.0","6961.0","6535.0","4227.0","2101.0","2126.0","1036.0","522.0","514.0","142500.0","73682.0","68818.0","26076.0","12119.0","13957.0","68236.0","50203.0","18033.0","64418.0","48303.0","16115.0","214.0","120.0","94.0","261.0","181.0","80.0","0.0","0.0","0.0","62108.0","46747.0","15361.0","3818.0","1900.0","1918.0","137.0","59.0","78.0","65.0","14.0","51.0","261.0","62.0","199.0","3355.0","1765.0","1590.0","3398.0","1700.0","1698.0","134.0","58.0","76.0","62.0","14.0","48.0","204.0","50.0","154.0","2998.0","1578.0","1420.0","420.0","200.0","220.0","3.0","1.0","2.0","3.0","0.0","3.0","57.0","12.0","45.0","357.0","187.0","170.0","100340.0","35598.0","64742.0","5","4.984203938","33822"
"2","88.0","88.0","Greater Mumbai (M Corp.) (Part) WARD NO.-2488","Greater Mumbai","Maharashtra","27518999998027942488","7690.0","31955.0","16308.0","15647.0","2544.0","1353.0","1191.0","1015.0","492.0","523.0","667.0","346.0","321.0","27830.0","14463.0","13367.0","4125.0","1845.0","2280.0","12436.0","9270.0","3166.0","12016.0","9057.0","2959.0","23.0","15.0","8.0","25.0","19.0","6.0","0.0","0.0","0.0","11569.0","8849.0","2720.0","420.0","213.0","207.0","12.0","5.0","7.0","2.0","1.0","1.0","37.0","7.0","30.0","369.0","200.0","169.0","378.0","192.0","186.0","12.0","5.0","7.0","2.0","1.0","1.0","30.0","4.0","26.0","334.0","182.0","152.0","42.0","21.0","21.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","3.0","4.0","35.0","18.0","17.0","19519.0","7038.0","12481.0","5","4.899317336","6522"
"3","64.0","64.0","Greater Mumbai (M Corp.) (Part) WARD NO.-1564","Greater Mumbai","Maharashtra","27518999998027941564","87118.0","391381.0","219078.0","172303.0","42574.0","22448.0","20126.0","20670.0","10909.0","9761.0","4494.0","2408.0","2086.0","312265.0","184259.0","128006.0","79116.0","34819.0","44297.0","158203.0","130912.0","27291.0","149594.0","125705.0","23889.0","405.0","274.0","131.0","1140.0","959.0","181.0","0.0","0.0","0.0","141887.0","120042.0","21845.0","8609.0","5207.0","3402.0","256.0","135.0","121.0","134.0","99.0","35.0","840.0","378.0","462.0","7379.0","4595.0","2784.0","7116.0","4278.0","2838.0","246.0","131.0","115.0","120.0","92.0","28.0","652.0","310.0","342.0","6098.0","3745.0","2353.0","1493.0","929.0","564.0","10.0","4.0","6.0","14.0","7.0","7.0","188.0","68.0","120.0","1281.0","850.0","431.0","233178.0","88166.0","145012.0","10","10.41793478","37568"
"4","74.0","74.0","Greater Mumbai (M Corp.) (Part) WARD NO.-1874","Greater Mumbai","Maharashtra","27518999998027941874","36517.0","154540.0","81975.0","72565.0","13692.0","7307.0","6385.0","5601.0","2895.0","2706.0","1752.0","897.0","855.0","129491.0","70737.0","58754.0","25049.0","11238.0","13811.0","61053.0","48095.0","12958.0","58745.0","46831.0","11914.0","80.0","56.0","24.0","182.0","139.0","43.0","0.0","0.0","0.0","56832.0","45459.0","11373.0","2308.0","1264.0","1044.0","73.0","34.0","39.0","19.0","7.0","12.0","158.0","50.0","108.0","2058.0","1173.0","885.0","1976.0","1068.0","908.0","73.0","34.0","39.0","19.0","7.0","12.0","126.0","41.0","85.0","1758.0","986.0","772.0","332.0","196.0","136.0","0.0","0.0","0.0","0.0","0.0","0.0","32.0","9.0","23.0","300.0","187.0","113.0","93487.0","33880.0","59607.0","4","4.392561947","35182"
"5","71.0","71.0","Greater Mumbai (M Corp.) (Part) WARD NO.-1771","Greater Mumbai","Maharashtra","27518999998027941771","1382.0","6060.0","3332.0","2728.0","608.0","336.0","272.0","45.0","21.0","24.0","559.0","286.0","273.0","4234.0","2485.0","1749.0","1826.0","847.0","979.0","3050.0","2048.0","1002.0","2767.0","1915.0","852.0","112.0","98.0","14.0","161.0","106.0","55.0","0.0","0.0","0.0","2436.0","1670.0","766.0","283.0","133.0","150.0","7.0","4.0","3.0","83.0","47.0","36.0","12.0","3.0","9.0","181.0","79.0","102.0","181.0","92.0","89.0","7.0","4.0","3.0","79.0","45.0","34.0","9.0","2.0","7.0","86.0","41.0","45.0","102.0","41.0","61.0","0.0","0.0","0.0","4.0","2.0","2.0","3.0","1.0","2.0","95.0","38.0","57.0","3010.0","1284.0","1726.0","19","19.15332838","316"
"6","73.0","73.0","Greater Mumbai (M Corp.) (Part) WARD NO.-1773","Greater Mumbai","Maharashtra","27518999998027941773","24170.0","101127.0","52562.0","48565.0","8897.0","4655.0","4242.0","6714.0","3409.0","3305.0","2185.0","1114.0","1071.0","84520.0","45383.0","39137.0","16607.0","7179.0","9428.0","41275.0","30318.0","10957.0","38913.0","29092.0","9821.0","99.0","63.0","36.0","400.0","307.0","93.0","0.0","0.0","0.0","37180.0","27903.0","9277.0","2362.0","1226.0","1136.0","83.0","42.0","41.0","33.0","14.0","19.0","151.0","65.0","86.0","2095.0","1105.0","990.0","1982.0","1054.0","928.0","81.0","40.0","41.0","26.0","10.0","16.0","134.0","60.0","74.0","1741.0","944.0","797.0","380.0","172.0","208.0","2.0","2.0","0.0","7.0","4.0","3.0","17.0","5.0","12.0","354.0","161.0","193.0","59852.0","22244.0","37608.0","4","3.971648529","25462"
"7","39.0","39.0","Greater Mumbai (M Corp.) (Part) WARD NO.-1139","Greater Mumbai","Maharashtra","27518999998027941139","9739.0","47123.0","26017.0","21106.0","5432.0","2787.0","2645.0","563.0","286.0","277.0","75.0","43.0","32.0","35883.0","20530.0","15353.0","11240.0","5487.0","5753.0","18296.0","15609.0","2687.0","17213.0","14764.0","2449.0","24.0","15.0","9.0","28.0","27.0","1.0","0.0","0.0","0.0","16942.0","14536.0","2406.0","1083.0","845.0","238.0","18.0","13.0","5.0","6.0","3.0","3.0","28.0","10.0","18.0","1031.0","819.0","212.0","883.0","704.0","179.0","18.0","13.0","5.0","3.0","1.0","2.0","14.0","6.0","8.0","848.0","684.0","164.0","200.0","141.0","59.0","0.0","0.0","0.0","3.0","2.0","1.0","14.0","4.0","10.0","183.0","135.0","48.0","28827.0","10408.0","18419.0","0","0.387080795","121739"
"8","70.0","70.0","Greater Mumbai (M Corp.) (Part) WARD NO.-1870","Greater Mumbai","Maharashtra","27518999998027941870","30933.0","122270.0","66253.0","56017.0","11912.0","6208.0","5704.0","3762.0","2011.0","1751.0","1555.0","825.0","730.0","99047.0","55645.0","43402.0","23223.0","10608.0","12615.0","52765.0","39330.0","13435.0","50300.0","37923.0","12377.0","182.0","134.0","48.0","334.0","260.0","74.0","0.0","0.0","0.0","48760.0","36921.0","11839.0","2465.0","1407.0","1058.0","29.0","17.0","12.0","87.0","44.0","43.0","208.0","83.0","125.0","2141.0","1263.0","878.0","1997.0","1109.0","888.0","28.0","17.0","11.0","85.0","42.0","43.0","155.0","67.0","88.0","1729.0","983.0","746.0","468.0","298.0","170.0","1.0","0.0","1.0","2.0","2.0","0.0","53.0","16.0","37.0","412.0","280.0","132.0","69505.0","26923.0","42582.0","3","3.102473156","39410"
"9","999999.0","999999.0","Sanjay Gandhi National Park","Greater Mumbai","Maharashtra","NULL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41","41.1940859","0"
"10","70.0","70.0","Greater Mumbai (M Corp.) (Part) WARD NO.-1770","Greater Mumbai","Maharashtra","27518999998027941770","13831.0","56789.0","28906.0","27883.0","4147.0","2136.0","2011.0","1475.0","770.0","705.0","1278.0","640.0","638.0","48753.0","25098.0","23655.0","8036.0","3808.0","4228.0","23081.0","16839.0","6242.0","21920.0","16287.0","5633.0","70.0","47.0","23.0","80.0","63.0","17.0","0.0","0.0","0.0","21256.0","15849.0","5407.0","1161.0","552.0","609.0","60.0","31.0","29.0","37.0","15.0","22.0","41.0","12.0","29.0","1023.0","494.0","529.0","1023.0","492.0","531.0","59.0","30.0","29.0","37.0","15.0","22.0","35.0","11.0","24.0","892.0","436.0","456.0","138.0","60.0","78.0","1.0","1.0","0.0","0.0","0.0","0.0","6.0","1.0","5.0","131.0","58.0","73.0","33708.0","12067.0","21641.0","3","2.774396469","20469"
"11","72.0","72.0","Greater Mumbai (M Corp.) (Part) WARD NO.-1772","Greater Mumbai","Maharashtra","27518999998027941772","21044.0","91245.0","48006.0","43239.0","7704.0","4056.0","3648.0","4711.0","2397.0","2314.0","1025.0","541.0","484.0","76666.0","41198.0","35468.0","14579.0","6808.0","7771.0","36758.0","28541.0","8217.0","34965.0","27578.0","7387.0","91.0","55.0","36.0","112.0","88.0","24.0","0.0","0.0","0.0","33719.0","26722.0","6997.0","1793.0","963.0","830.0","68.0","28.0","40.0","10.0","5.0","5.0","147.0","57.0","90.0","1568.0","873.0","695.0","1607.0","862.0","745.0","67.0","27.0","40.0","9.0","4.0","5.0","121.0","46.0","75.0","1410.0","785.0","625.0","186.0","101.0","85.0","1.0","1.0","0.0","1.0","1.0","0.0","26.0","11.0","15.0","158.0","88.0","70.0","54487.0","19465.0","35022.0","3","2.505290574","36421"
"12","69.0","69.0","Greater Mumbai (M Corp.) (Part) WARD NO.-1769","Greater Mumbai","Maharashtra","27518999998027941769","74368.0","306941.0","156347.0","150594.0","23525.0","12377.0","11148.0","14380.0","7316.0","7064.0","3198.0","1618.0","1580.0","266106.0","136428.0","129678.0","40835.0","19919.0","20916.0","122003.0","88085.0","33918.0","115676.0","84830.0","30846.0","350.0","188.0","162.0","456.0","320.0","136.0","0.0","0.0","0.0","112122.0","82534.0","29588.0","6327.0","3255.0","3072.0","224.0","101.0","123.0","35.0","17.0","18.0","272.0","89.0","183.0","5796.0","3048.0","2748.0","5639.0","2857.0","2782.0","220.0","98.0","122.0","33.0","16.0","17.0","213.0","64.0","149.0","5173.0","2679.0","2494.0","688.0","398.0","290.0","4.0","3.0","1.0","2.0","1.0","1.0","59.0","25.0","34.0","623.0","369.0","254.0","184938.0","68262.0","116676.0","7","6.845862578","44836"
