"shapeid","x","y"
"0","72.8508499998","19.1984600004"
"0","72.8513300004","19.1985199996"
"0","72.85136","19.19851"
"0","72.8519399997","19.1986799998"
"0","72.8530099996","19.1987399999"
"0","72.85339","19.1987999999"
"0","72.8539000002","19.1988899996"
"0","72.8542700002","19.1988199999"
"0","72.85454","19.1987799999"
"0","72.8549799996","19.1986900002"
"0","72.8553499996","19.1986900002"
"0","72.8556200004","19.1987199998"
"0","72.8558100001","19.1987599999"
"0","72.8558100001","19.1987300003"
"0","72.8560700004","19.1974499997"
"0","72.8567599999","19.1975800003"
"0","72.8571200003","19.1976400004"
"0","72.8573900001","19.19769"
"0","72.8574100002","19.1976000003"
"0","72.8574900003","19.1971300003"
"0","72.8576699996","19.1964700004"
"0","72.8577699997","19.1961599996"
"0","72.8579600004","19.19574"
"0","72.8581500001","19.1954799997"
"0","72.8583300003","19.1952400003"
"0","72.8585699997","19.1948700004"
"0","72.8593000001","19.1947900003"
"0","72.8599900004","19.1947500002"
"0","72.85996","19.19459"
"0","72.8598900003","19.1943400002"
"0","72.8598199998","19.1941700004"
"0","72.8597399997","19.1940100003"
"0","72.8593000001","19.1931500002"
"0","72.8589300001","19.1924900003"
"0","72.8586000002","19.1920699998"
"0","72.8584800001","19.19182"
"0","72.85844","19.1917300003"
"0","72.8583300003","19.19143"
"0","72.8582999998","19.1911200001"
"0","72.8583100003","19.1907599997"
"0","72.8583300003","19.1904899998"
"0","72.8583300003","19.1904200002"
"0","72.8583500004","19.1901100003"
"0","72.8583900004","19.1892999998"
"0","72.8583900004","19.1885100002"
"0","72.8581500001","19.1885399998"
"0","72.85764","19.1885999999"
"0","72.8572799996","19.1886500004"
"0","72.8570699998","19.18868"
"0","72.85686","19.18868"
"0","72.8567399999","19.18868"
"0","72.8566100002","19.1886500004"
"0","72.8565799997","19.1886500004"
"0","72.85606","19.1885599998"
"0","72.8557700001","19.1885399998"
"0","72.8554699997","19.1885399998"
"0","72.8553699996","19.1885500003"
"0","72.8551999999","19.1878300004"
"0","72.8550500002","19.1871100004"
"0","72.8550399997","19.1870700004"
"0","72.8550399997","19.1870500004"
"0","72.8549399996","19.1862799999"
"0","72.8546699997","19.1857400002"
"0","72.8546099997","19.1857400002"
"0","72.8542799997","19.1857400002"
"0","72.8538499997","19.1857299997"
"0","72.85339","19.1857299997"
"0","72.8532600003","19.1857499998"
"0","72.8531099997","19.1857699998"
"0","72.8528300003","19.1857600002"
"0","72.8522","19.1856699997"
"0","72.85214","19.1856600001"
"0","72.8513900004","19.1856200001"
"0","72.8513300004","19.1856200001"
"0","72.8506600001","19.1855899996"
"0","72.8501400004","19.1856099996"
"0","72.8501200003","19.1853999998"
"0","72.8501099999","19.1853999998"
"0","72.8501000003","19.1853999998"
"0","72.8500800003","19.1853999998"
"0","72.8500699998","19.1853900002"
"0","72.8500600003","19.1853900002"
"0","72.8500400002","19.1853900002"
"0","72.8500400002","19.1853799998"
"0","72.8500200002","19.1853799998"
"0","72.8500099998","19.1853700002"
"0","72.8500000002","19.1853700002"
"0","72.8499899997","19.1853599998"
"0","72.8499800002","19.1853500002"
"0","72.8499699997","19.1853500002"
"0","72.8499600002","19.1853399997"
"0","72.8499499997","19.1853300002"
"0","72.8496300002","19.1853300002"
"0","72.84941","19.1853300002"
"0","72.84902","19.1853399997"
"0","72.8491000001","19.1846300003"
"0","72.8489799999","19.1840800001"
"0","72.8489900004","19.1840699996"
"0","72.8485800004","19.1841600002"
"0","72.8486799996","19.1856800001"
"0","72.8489399999","19.1874000003"
"0","72.8492299998","19.1892599998"
"0","72.8492499998","19.1893799999"
"0","72.84941","19.1903899997"
"0","72.8497700004","19.1926499996"
"0","72.8501699999","19.1948900004"
"0","72.8504599998","19.1965299996"
"0","72.8508499998","19.1984600004"
"1","72.8386500002","19.1979799999"
"1","72.8390699998","19.1979900003"
"1","72.84005","19.1980199999"
"1","72.8405099996","19.1980500004"
"1","72.8413600002","19.1980399999"
"1","72.8414499998","19.1980300004"
"1","72.8417500002","19.1980300004"
"1","72.8420299996","19.1980199999"
"1","72.8424500001","19.19806"
"1","72.8430200003","19.1981"
"1","72.8430499999","19.1981"
"1","72.84321","19.1981"
"1","72.84354","19.1981600001"
"1","72.8437000002","19.1982000001"
"1","72.8438600003","19.1982299997"
"1","72.84399","19.1982299997"
"1","72.84516","19.1982499997"
"1","72.8460200001","19.1982600002"
"1","72.8461299998","19.1982600002"
"1","72.8469200003","19.1982699998"
"1","72.8476000001","19.1982299997"
"1","72.8481100003","19.1982099997"
"1","72.8481399999","19.1983000002"
"1","72.84869","19.1983400003"
"1","72.8491099996","19.1983800003"
"1","72.8493699999","19.1983800003"
"1","72.8496500002","19.1983800003"
"1","72.8498499996","19.1983499999"
"1","72.8499499997","19.1983400003"
"1","72.8502599996","19.1983800003"
"1","72.8502999996","19.1983899999"
"1","72.8508499998","19.1984600004"
"1","72.8504599998","19.1965299996"
"1","72.8501699999","19.1948900004"
"1","72.8497700004","19.1926499996"
"1","72.84941","19.1903899997"
"1","72.8492499998","19.1893799999"
"1","72.8492299998","19.1892599998"
"1","72.8489399999","19.1874000003"
"1","72.8486799996","19.1856800001"
"1","72.8485800004","19.1841600002"
"1","72.8485800004","19.1841499997"
"1","72.8485800004","19.1841099997"
"1","72.8486000004","19.1821599997"
"1","72.84863","19.1809699997"
"1","72.8486400004","19.1803699999"
"1","72.8487999997","19.1774700001"
"1","72.84824","19.1779699998"
"1","72.8480799998","19.1780000003"
"1","72.8475299996","19.1780499999"
"1","72.8474300004","19.1780699999"
"1","72.8471999997","19.17809"
"1","72.8468200001","19.1781000004"
"1","72.8467600001","19.17811"
"1","72.8465700003","19.17813"
"1","72.8463500001","19.17813"
"1","72.8462800004","19.17815"
"1","72.8461200002","19.1781900001"
"1","72.8458700004","19.1782900002"
"1","72.8457199998","19.1783599998"
"1","72.8456100001","19.1784199999"
"1","72.8453299998","19.1785699996"
"1","72.8450599999","19.1787299998"
"1","72.8449100002","19.1788099999"
"1","72.8447900001","19.1788499999"
"1","72.8446699999","19.1788600004"
"1","72.8445099997","19.1788400004"
"1","72.8442599999","19.1788299999"
"1","72.8437499998","19.1789000004"
"1","72.8434399999","19.1789900001"
"1","72.8432599997","19.1789999997"
"1","72.8432300001","19.1790100001"
"1","72.8428400001","19.1790399997"
"1","72.8426599999","19.1790100001"
"1","72.8424900001","19.1790199997"
"1","72.8424799997","19.1790300001"
"1","72.8423299999","19.1790799997"
"1","72.84204","19.1791599998"
"1","72.8418500003","19.1791999999"
"1","72.8416399996","19.1792300004"
"1","72.8413800002","19.1792100003"
"1","72.8412100004","19.1791999999"
"1","72.8410300002","19.1791999999"
"1","72.84085","19.1792199999"
"1","72.8401599997","19.1792500004"
"1","72.8399099998","19.1792599999"
"1","72.8397600001","19.1792700004"
"1","72.8395199998","19.1792700004"
"1","72.8383299998","19.1793"
"1","72.8376099999","19.1793099996"
"1","72.8373600001","19.1793600001"
"1","72.8371300003","19.1794499997"
"1","72.8369399996","19.1795400003"
"1","72.8367600003","19.1796800004"
"1","72.8366200001","19.1797399996"
"1","72.8365299996","19.1797500001"
"1","72.8364700004","19.1797599996"
"1","72.8363300002","19.17973"
"1","72.8361900001","19.17967"
"1","72.8360699999","19.1795699999"
"1","72.8358699997","19.1794000001"
"1","72.8356500003","19.1791799999"
"1","72.8356100003","19.1791500003"
"1","72.8355199997","19.1790700002"
"1","72.8353999996","19.1789599996"
"1","72.8352600003","19.1788400004"
"1","72.8351099997","19.1787499998"
"1","72.8351099997","19.1787299998"
"1","72.8347300002","19.1787000002"
"1","72.8344400003","19.1786800002"
"1","72.83225","19.1785299996"
"1","72.8313600004","19.1784700004"
"1","72.8290200004","19.1798599997"
"1","72.8289899999","19.1799300003"
"1","72.8261399998","19.1803400003"
"1","72.8256200001","19.1804600004"
"1","72.8258000003","19.18127"
"1","72.8252999997","19.1813599997"
"1","72.8253700002","19.1813900001"
"1","72.8252700001","19.1816100004"
"1","72.8243999996","19.1829100001"
"1","72.8243999996","19.1830100002"
"1","72.82443","19.1833400001"
"1","72.8244599996","19.1835299999"
"1","72.8244900001","19.1837599997"
"1","72.8245300002","19.1840800001"
"1","72.8245799998","19.1843800004"
"1","72.8245900002","19.1845999998"
"1","72.8246500003","19.18517"
"1","72.8246500003","19.1852599997"
"1","72.8247199999","19.18556"
"1","72.8247300004","19.1856299996"
"1","72.8247500004","19.1857499998"
"1","72.82478","19.1859000004"
"1","72.8248299996","19.1863300004"
"1","72.8248499996","19.1865299998"
"1","72.8248099996","19.1868500001"
"1","72.82482","19.1868700002"
"1","72.8248899997","19.1874400004"
"1","72.8248800001","19.1874699999"
"1","72.8248400001","19.1877799998"
"1","72.8249000001","19.1880099997"
"1","72.8249099997","19.1883000004"
"1","72.8249099997","19.1884599997"
"1","72.8249899998","19.1886300004"
"1","72.8250499999","19.1887400001"
"1","72.82515","19.1888600002"
"1","72.8253100002","19.1904299997"
"1","72.8253599998","19.1904899998"
"1","72.8253599998","19.1905299999"
"1","72.8257400002","19.1939399997"
"1","72.8257699998","19.19414"
"1","72.8258000003","19.1943200002"
"1","72.8259400004","19.1951699998"
"1","72.8261300002","19.1963900003"
"1","72.8263300004","19.1964100003"
"1","72.8266800004","19.1963900003"
"1","72.8270300003","19.1963300002"
"1","72.8273899998","19.1962599997"
"1","72.82755","19.1962399997"
"1","72.8282000003","19.1961399996"
"1","72.8284300001","19.19611"
"1","72.8294100004","19.1959400002"
"1","72.8298000004","19.1958800002"
"1","72.83104","19.19576"
"1","72.8311200001","19.1957499996"
"1","72.8315900002","19.19574"
"1","72.8317900004","19.1957300004"
"1","72.8320200002","19.1957300004"
"1","72.83221","19.19572"
"1","72.8324100002","19.19572"
"1","72.8336299998","19.1956799999"
"1","72.8336299998","19.1956900004"
"1","72.8336299998","19.1957"
"1","72.8336400003","19.1957"
"1","72.8336400003","19.1957100004"
"1","72.8336499998","19.1957100004"
"1","72.8336600003","19.1957100004"
"1","72.8336600003","19.19572"
"1","72.8336699999","19.19572"
"1","72.8336699999","19.1957100004"
"1","72.8336800003","19.1957100004"
"1","72.8336899999","19.1957100004"
