k_id,ward,latitude,longitude,paper (kg per week),plastic (kg per week),workers in shop
1,HW,19.0678070,72.8378250,,,2
2,HW,19.0543401,72.8264735,,,2
3,HW,19.0544528,72.8263465,,,1
4,HW,19.0657827,72.8317122,,,1
5,HW,19.0676038,72.8347857,,,1
6,HW,19.0645858,72.8297552,,,1
7,HW,19.0714572,72.8391907,,,1
8,HW,19.0676024,72.8300862,,,1
9,HW,19.0715253,72.8298712,,,2
10,HW,19.0749730,72.8260120,,,1
11,HW,19.0735435,72.8287138,,,1
12,HW,19.0720774,72.8285492,100,20,1
13,HW,19.0603218,72.8243013,,,1
14,HW,19.0654072,72.8247901,1750,105,3
15,HW,19.0665285,72.8299565,,,2
16,HW,19.0678849,72.8330201,,,1
17,HW,19.0718008,72.8337198,,,1
18,HW,19.0841930,72.8360630,,,1
19,HW,19.0866370,72.8360040,700,100,2
20,HW,19.0656075,72.8378633,,,1
21,HW,19.0657486,72.8373900,,,2
22,HW,19.0698550,72.8375130,,,1
23,HW,19.0699738,72.8374947,,,1
24,HW,19.0736560,72.8392670,,,1
25,HW,19.0880398,72.8413743,,,2
26,HW,19.0885458,72.8389995,,,1
27,HW,19.0867334,72.8382219,,,2
28,HW,19.0851547,72.8304054,,,3
29,HW,19.0808350,72.8299370,250,5,4
30,HW,19.0744415,72.8261003,500,100,2
31,HW,19.0746486,72.8260370,,,1
32,HW,19.0713132,72.8280811,,,1
33,HW,19.0702680,72.8290720,,,1
34,HW,19.0701339,72.8296615,,,1
35,HW,19.0702849,72.8264983,560,140,1
36,HW,19.0649388,72.8248823,,,1
37,HW,19.0633874,72.8245271,,,1
38,HW,19.0632723,72.8245799,1050,35,1
39,HW,19.0631963,72.8245959,,15,1
40,HW,19.0622555,72.8295382,,,2
41,HW,19.0620470,72.8294660,,,3
42,HW,19.0590589,72.8373904,,,1
43,HW,19.0569725,72.8386800,,,2
44,HW,19.0527328,72.8381209,,,2
45,HW,19.0538410,72.8283010,,,1
46,HW,19.0486758,72.8247907,,,1
47,HW,19.0527731,72.8315598,,,1
