k_id,ward,latitude,longitude
1,HW,19.06784055,72.83782248
2,HW,19.05437855,72.82649843
3,HW,19.05446987,72.82635757
4,HW,19.06578056,72.83173863
5,HW,19.06765729,72.83479055
6,HW,19.06460472,72.8296381
7,HW,19.07146819,72.83910295
8,HW,19.06760451,72.83003014
9,HW,19.07166719,72.8299101
10,HW,19.07497563,72.82597857
11,HW,19.07354307,72.82870838
12,HW,19.07209933,72.82882371
13,HW,19.06032254,72.82429852
14,HW,19.06540816,72.82486632
15,HW,19.06653254,72.82992476
16,HW,19.06790404,72.83302921
17,HW,19.07183181,72.83373862
18,HW,19.0842775,72.83607469
19,HW,19.08660305,72.83600697
20,HW,19.06560631,72.83792756
21,HW,19.06576842,72.83739559
22,HW,19.06989724,72.83751235
23,HW,19.06989704,72.83749178
24,HW,19.07365272,72.83931414
25,HW,19.08803227,72.84140891
26,HW,19.08855782,72.83899917
27,HW,19.08667197,72.8382219
28,HW,19.0852854,72.83044209
29,HW,19.08083319,72.8299395
30,HW,19.0744392,72.8260935
31,HW,19.07464422,72.82602413
32,HW,19.07133402,72.82810879
33,HW,19.07012639,72.82903707
34,HW,19.07004699,72.82963584
35,HW,19.07025842,72.82649873
36,HW,19.0649387,72.82487233
37,HW,19.0633632,72.82458226
38,HW,19.0632837,72.82454853
39,HW,19.06319403,72.82459594
40,HW,19.0622555,72.829521
41,HW,19.06204848,72.82952608
42,HW,19.05908989,72.8374517
43,HW,19.05697275,72.83867846
44,HW,19.05273138,72.83811365
45,HW,19.05383536,72.82833595
46,HW,19.04879417,72.82481385
47,HW,19.05277179,72.83156046
48,HW,19.0586713,72.83407787
49,HW,19.07130144,72.83719284
50,HW,19.0713479,72.83684377
51,HW,19.06543414,72.83260769
52,HW,19.07523095,72.83597814
53,HW,19.08312411,72.84085708
54,HW,19.08636443,72.84091546
55,HW,19.0793108,72.82930413
56,HW,19.07383285,72.82633201
57,HW,19.06118601,72.82462158
58,HW,19.06568977,72.83173183
59,HW,19.07914006,72.8403253
60,HW,19.07937106,72.84040269
61,HW,19.08535812,72.83467774
62,HW,19.08768381,72.83818916
63,HW,19.07917222,72.83810407
64,HW,19.07079082,72.82837262
65,HW,19.07375971,72.8301991
66,HW,19.05667156,72.82423782
67,N,19.07938752,72.90351303
68,N,19.08715591,72.9113412
69,N,19.07589847,72.89808375
70,N,19.07721496,72.89907279
71,N,19.07708084,72.9034774
72,N,19.07323221,72.90894878
73,N,19.0802912,72.90479847
74,N,19.0825246,72.9089181
75,N,19.0836881,72.90915358
76,N,19.08468812,72.90965291
77,N,19.08447398,72.91092948
78,N,19.08542137,72.91152634
79,N,19.09065618,72.91059907
80,N,19.09539679,72.91025892
81,N,19.09701808,72.91007142
82,N,19.0982169,72.91021825
83,N,19.10850123,72.91526812
84,N,19.11269849,72.91617455
85,N,19.0754244,72.91532543
86,N,19.08224536,72.90930252
87,N,19.07824597,72.90999224
88,N,19.07815902,72.91148139
89,N,19.08134087,72.91215099
90,N,19.08234692,72.9139658
91,N,19.08302666,72.91324464
92,N,19.08378429,72.91472097
93,N,19.08676809,72.91303941
94,N,19.09419451,72.91185518
95,N,19.09424044,72.91178995
96,N,19.09501142,72.91212578
97,N,19.07608762,72.91605816
98,N,19.08811925,72.9100891
99,N,19.09065147,72.910059
100,N,19.08844461,72.90653116
101,N,19.08939024,72.90506097
102,N,19.08995805,72.90477699
103,N,19.09018397,72.90461001
104,N,19.10012391,72.91396898
105,N,19.10413889,72.91155544
106,N,19.09330216,72.89984882
107,N,19.09349785,72.90377403
108,N,19.09123656,72.9076445
109,N,19.09226735,72.90798984
110,N,19.11334925,72.9162021
111,N,19.0993387,72.90866916
112,N,19.09050923,72.90264007
113,RN,19.24002707,72.84613671
114,RN,19.25659121,72.85210003
115,RN,19.25462773,72.85271067
116,RN,19.25667686,72.85180804
117,RN,19.25207068,72.87341552
118,RN,19.24140749,72.86790533
119,RN,19.24039618,72.86952681
120,RN,19.24536521,72.84678059
121,RN,19.24345087,72.86715131
122,RN,19.25647318,72.87416611
123,RN,19.24335688,72.86599732
124,RN,19.24200394,72.86504611
125,RN,19.2436957,72.86531102
126,RN,19.24504713,72.87093959
127,RN,19.24691281,72.87216317
128,RN,19.25461355,72.85387947
129,RN,19.23654071,72.8685109
130,RN,19.23689758,72.8670517
131,RN,19.24490822,72.86895148
132,RN,19.24490673,72.87016902
133,RN,19.24464391,72.87279094
134,RN,19.245047,72.87093957
135,RN,19.25625241,72.87434864
136,RN,19.25602755,72.87212713
137,RN,19.24871187,72.8616395
138,RN,19.24863349,72.86098545
139,RN,19.24857161,72.86121053
140,RN,19.25392718,72.86217187
141,RN,19.25903229,72.85977872
142,RN,19.25099889,72.85094703
143,RN,19.25048516,72.85360998
144,RN,19.24478084,72.85740418
145,RN,19.25679583,72.8511627
146,RN,19.25662063,72.85200058
147,RN,19.25325491,72.85010942
148,RN,19.25379984,72.84960712
149,RN,19.24688121,72.85442947
150,RN,19.24902779,72.85019393
151,RN,19.24869496,72.85014218
152,RN,19.25231048,72.84614075
153,RN,19.24714606,72.84858322
154,RN,19.2453532,72.84708379
155,RN,19.2410371,72.84627071
156,RN,19.23884807,72.8481205
157,RN,19.2525274,72.86321517
158,RN,19.25941749,72.86074667
159,RN,19.25684932,72.86723242
160,RN,19.24832155,72.8729201
161,RN,19.25446143,72.85160414
162,RN,19.24490593,72.87043328
